Longitude,Latitude
-77.04823798,39.04134953
-77.05171776,39.041536
-77.05004188,39.04300583
-76.98321697,39.04550148
-77.08670704,39.04600704
-77.06753471,39.04685305
-77.11272132,39.04688746
-76.97645645,39.04712382
-77.06570643,39.04816455
-77.10811702,39.04901723
-77.08091816,39.04957845
-77.05642095,39.04986326
-77.11808164,39.05486472
-77.07132143,39.05508435
-76.96659843,39.05515165
-77.15383358,39.0553
-77.05303932,39.0567596
-77.08794558,39.05719774
-77.07796486,39.05748188
-76.97227636,39.05887745
-77.15423418,39.05961391
-77.09080105,39.06175081
-77.11434173,39.06715728
-76.95923687,39.06797275
-77.08935489,39.07095125
-77.22042573,39.07258252
-77.13724473,39.07878094
-77.08402884,39.07949139
-77.06603397,39.0795673
-76.96378953,39.08010624
-76.93928375,39.08206014
-76.96697608,39.08464282
-77.14819686,39.08516274
-77.14941394,39.08663892
-77.05045917,39.09045558
-77.32184744,39.09066424
-77.07979606,39.09203135
-77.07979606,39.09203135
-77.15941139,39.09267578
-77.07851192,39.09345931
-76.92011233,39.10104889
-77.05115789,39.10210055
-77.15441726,39.10508197
-77.19281623,39.11163192
-77.25003453,39.11701353
-77.07279139,39.1250689
-77.20398143,39.13037787
-77.22870269,39.13119537
-77.20329876,39.13352887
-77.22854414,39.14070833
-77.07208046,39.14360369
-77.20165015,39.14399238
-77.14404861,39.14566413
-77.22834655,39.14605875
-77.18856263,39.15157192
-77.19603305,39.15235073
-77.19674675,39.15425719
-77.16384304,39.15470165
-77.05533921,39.15713018
-77.20761173,39.15880935
-77.20191104,39.16162154
-77.18099958,39.16333729
-77.27123089,39.1636458
-77.2711906,39.16365116
-77.27198394,39.16404618
-77.24666738,39.16730111
-77.25814436,39.17132181
-77.25172821,39.17167456
-77.24745027,39.1749854
-77.27866817,39.17878963
-77.26734863,39.17883254
-77.41573899,39.17890769
-77.26849811,39.1802436
-77.18752265,39.18527127
-77.25154965,39.18858646
-77.24491824,39.19841751
-77.24491824,39.19841751
-77.24899849,39.20902227
-77.29698178,39.22192248
-77.25986485,39.24547458
-77.06678259,38.98081772
-77.11166873,38.98598487
-77.02959872,38.98696707
-77.02959872,38.98696707
-77.0289111,38.99246878
-77.0289111,38.99246878
